company_id,name,reason_bucket,reason,priority_tier,priority_score,industry,signal_count,signal_types
37,Marriott Hotels,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,1,news
65,Jones Lang LaSalle (JLL),misattributed_headline,company name not found in signal text (mis-attributed headline fragment),COLD,0.0,Real Estate & Facilities,4,"capex,labor_shortage,news,strategic_hire"
145,Samsung C&T,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,4,automation_interest
151,N.J. logistics park,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Logistics,1,news
157,US hospitality,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,2,strategic_hire
160,Viega North America,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Automotive & Manufacturing,5,"news,strategic_hire"
161,EG America,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,4,"automation_interest,news,strategic_hire"
166,Third Party Logistics,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,news
172,Palladium Hotel Group,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,5,"funding_round,news"
180,Elderly Americans,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,news
182,Six Flags,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Media & Publishing,2,"automation_interest,funding_round"
190,Red Lobster,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,6,"news,strategic_hire"
191,Echo Global Logistics,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,4,"expansion,ma_activity"
194,Fresh Blends,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Healthcare,5,"automation_interest,news,strategic_hire"
206,US restaurant,fast_junk,junk pattern: (?i)^(qsr|nj|ny|ca|tx|fl|us|u\.s\.)\s+(operators?|restaurant,COLD,0.0,Food Service,1,automation_interest
208,ECOVACS,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,5,automation_interest
220,SpaceX vets,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Datacenters,2,funding_round
222,Smarter,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,news
223,BESTSELLER,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Apparel & Textiles,2,automation_interest
232,Rowan University,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,3,"expansion,news"
238,CKE Restaurants,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,news
247,US Manufacturers Make Big,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,2,news
256,Churchill,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,"automation_interest,expansion"
275,BurgerBots,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,"automation_interest,strategic_hire"
285,Omnicell,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,6,news
292,Vitestro,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Medical Technology,3,funding_round
295,Cellares,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Automotive & Manufacturing,3,"funding_round,news,strategic_hire"
328,Changi Airport,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,10,"automation_interest,expansion,news,strategic_hire"
345,Target Corporation,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,2,news
386,Restaurant Brands International,buyer_opportunity_gate,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Food Service,2,"ma_activity,news"
412,UPS Supply Chain Solutions,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,news
481,Hilton Worldwide Holdings,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,5,"funding_round,ma_activity,news"
532,Air India CEO,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,"automation_interest,news"
